
Lista de ascensores:

Nombre Edificio     Dirección Edificio
TORRE DE LA VILLA      		AVENIDA ITALIA 1214
TORRES DEL PARQUE      		AVDA  MARCELO T DE ALVEAR 736 - BANDA NORTE
VIRREY         		SOBREMONTE 1266
PROGRESO       		SOBREMONTE 685
EX CORREO      		25 DE MAYO 96
COLEGIO LA MERCED         	COLON Y 9 DE JULIO 897
UTN VILLA MARIA            	AV. UNIVERSIDAD 450
FRANCISCO I              		BELGRANO (ENTRE 9 DE JULIO Y MORENO)
COCHERA LÚMINO 		    SAN MARTIN 1130
CENTRO COMERCIAL       		CONSTITUCION 846
ATILRA VM          		YRIGOYEN HIPOLITO 4056
SUPERVIELLE VM      		MITRE BARTOLOME 434
ITUZAINGÓ          		ITUZAINGO 950
URQUIA         		GRAL PAZ 85
DELFINO       		AV. ITALIA 1650
JORBA MONICA       		CALLE 6 ESQ CALLE 9 - BARRIO GOLF
MARTINEZ JORGE SAN ESTEBAN             RUTA 30 KM 1,5 LOTE 161 SAN ESTEBAN COUNTRY
SAN SEBASTIÁN           		LAMADRID 1740
TERRAZAS DEL SOL           	REGIMIENTO DE INFANTERIA 14 Nº 188/198
BARALE            		AV SABATTINI 2474
CUZCO CHICO SA - DIEZ Y ASOC         		HIPOLITO YRIGOYEN 1231
LAS HERAS          		LAS HERAS 569
MORÁN             		MORENO 1240
SAN GENARO         		CALLE 11 N° 1069 - BARRIO GOLF
AGD               		INT ADRIAN URQUIA 149 - GENERAL DEHEZA
BELGOFF           		SOBREMONTE 1062
CLAUDIA VILLARREAL          	BOLIVAR 308
ESCRIBANIA RIZZO          		SARMIENTO 770
FROUTE           		GENERAL CABRERA
PEDRO MARINELLI        		COUNTRY SAN ESTEBAN
URSCHEL        		SOBREMONTE 847
VITTA          		FOTHERINGHAM 960
CPCE ONCATIVO        		ESTEBAN PIACENZA 154
ZAFIRO        		ITUZAINGÓ 969
ASPURC         		NEWBERY ESQ 25 DE MAYO
AFIP RIO CUARTO      		SAN MARTIN 137
AFIP HERNANDO        		25 DE MAYO 233
AFIP LA CARLOTA      		ECHEVERRIA 10255
AFIP MARCOS JUAREZ      		L.N.ALEM 370
ALTOS DE BELGRANO        		BELGRANO 463
ACA HUINCA RENANCO       		25 DE MAYO 909
ACA EDUARDO CASTEX       		AV. DEL TRABAJO 1350
ASTURIAS         	HUMBERTO PRIMO 281
ARCADIA        		HIPOLITO YRIGOYEN 1187
ARCADIA II     		PEDERNERA 237
ABILENE B      		PJE ABRAHAM LINCOLN 1067
ALVEAR        		BUENOS AIRES 208
ALAS DEL CENTRO          		HIPOLITO YIRIGOYEN 346
ALEGRO I            CABRERA 1229
ALEGRO III         	CABRERA 1284
ALTO ANCONA      		CORRIENTES 3
ALTOS DE ALVEAR         		ALVEAR 1674
AMARINDA        		9 DE JULIO 975
AMERICA         		BELGRANO 287
HOSPITAL DR JOSE A CEBALLOS           GERONIMO DEL BARCO 1289, BELL VILLE
HOSPITAL COLONIA DR VIDAL ABAL        OLIVA 609
HOSPITAL DR LOUIS PASTEUR             BUCHARDO 1149, VILLA MARIA
TORRES DEL ANDINO II                  HUMBERTO PRIMO Y SARMIENTO
COCHERA MITRE          		MITRE
SUPER TOP CABRERA        		BOLIVAR 686, GRAL CABRERA
SUPER TOP VILLA MARIA          TUCUMAN 1331, VILLA MARIA
ESCUELA ADELIA MARIA           HIPOLITO YRIGOYEN 525 
APART GOLF       		SAN MARTIN 2750
ANTARES           		SOBREMONTE 491
ALEGRO II           		MORENO 657
NEOCLINICA ESQUINA       		AVENIDA ITALIA Y SADI CARNOT
CECIS II        		CONSTITUCION 846 - PÌSO 3
PEANO           		SAN MARTIN 1334
CONTROL          		BOLíVAR 308
FLORIDA I (ESTRADA)     		ESTRADA 274
TORRE MAFALDA    		AV GUILLERMO MARCONI 1115
TALLER            		BOLIVAR 308
GUZMÁN II	    	GOBERNADOR GUZMÁN 1050
MAFALDA II	    	ALBERDI 850
AGUILERA JORGE	    	SAN BASILIO
CARESTINO	    	AV. MARCELO T. DE ALVEAR 1572
CENTRO 11	    	LAVALLE 390 
JARDÍN RIVADAVIA VM	    	ANTONIO SOBRAL 378
CORDIEZ VGB	    	LOS MANANTIALES 71
ESCUELA ALCIRA GIGENA IPEA N°226	    	ENTRE BOULEVARD ROCA Y LAPRIDA
ESTUDIO ROSSI	    	CONSTITUCION 716
ESCRIBANIA RODRIGUEZ	    	CONSTITUCION 1085
TORRE YRIGOYEN	    	HIPOLITO YRIGOYEN 1398
MAFALDA PALACE	    	ALBERDI 711
JUAN XXIII	    	SAN JUAN 347
HOVENIA III     		ECHEVERRIA 640
NOSSOVICH PEDRO Y CIA	    	BV. ALVEAR 400
CABRERA END	    	PRESIDENTE PERON OESTE 305
JANTO	    	HUMBERTO PRIMO 216
SUPER TOP BANDA NORTE		    DR FRANCISCO MUÑIZ 750
SUPER TOP ESTRADA	    	JOSE MANUEL ESTRADA 698
URU CURE TORRE I	    	DR FRANCISCO MUÑIZ Y QUIRICO PORRECA
URU CURE TORRE II	    	DR FRANCISCO MUÑIZ Y QUIRICO PORRECA
URU CURE OFICINAS	    	DR FRANCISCO MUÑIZ Y QUIRICO PORRECA
COOPERATIVA ELECTRICA DEHEZA	    	GENERAL PAZ 430
25 DE MAYO	    	25 DE MAYO 259
ADOLMA IV	    	AV GUILLERMO MARCONI 835
SALA JOHN DEERE	    	RN36 Km 609
PATRICKS UNION    		RIVADAVIA 25
NICODEMUS 3	    	CARLOS PELLEGRINI 361
NICODEMUS 4	    	BV MARCELO T DE ALVEAR 152
ESC. RIVADAVIA CENTRO TEC.	   	ANTONIO SOBRAL 378
BABILONIA II	    	JOSE INGENIEROS 244
NICODEMUS 5	    	CATAMARCA 1561
BABILONIA I	    	CATAMARCA 1246
MEDITERRANEO	    	SAN JUAN 1352
METROPOLIS	    	BV ITALIA 97
TORRE PARQUE DEL RIO	    	RIO GRANDE 460
TRIBUNALES CENTRO	     	DEAN FUNES 159
URU CURE PORTONES	     	DR FRANCISCO MUÑIZ Y QUIRICO PORRECA

